,Timestamp,Indicate your current degree of studies,Which country is your school in?,Are your classes currently being conducted online?,What platform is your online school using?,"The nature and purpose of this research have been sufficiently explained. I understand that I am free to withdraw at any time without incurring any penalty. If you are 18 years of age or older, understand the statements above, and freely consent to participate in the study, click on the ""I Agree"" button to begin the survey. If not, thank you for your time.",1. How many of the following techniques do your teachers use in class?,3-9. Please indicate how much you agree or disagree with the following statements: [I enjoy having classes online.],3-9. Please indicate how much you agree or disagree with the following statements: [I feel motivated before class.],3-9. Please indicate how much you agree or disagree with the following statements: [I am satisfied with how my teachers conduct online classes.],3-9. Please indicate how much you agree or disagree with the following statements: [My classes are engaging.],3-9. Please indicate how much you agree or disagree with the following statements: [I am often distracted during class.],3-9. Please indicate how much you agree or disagree with the following statements: [I speak often during each class.],3-9. Please indicate how much you agree or disagree with the following statements: [I often ask the teacher Qs (either verbally or in chat)],"10. If you could change one thing about the way your online classes are designed, what would you change? Why?",11. Do you prefer online classes over in-person classes? Why or why not?,In-class assessments/quizzes,Asking students to explain concepts to the class,Debates,Small group activities where you solve a problem together,Role playing situations,Q&A with students' questions,Asking you to apply class material to a new context,assessments,explanation,debates,activities,rp,qna,application
112,4/6/2020 4:16:31,Undergraduate,United Kingdom,Yes,Recorded Lectures,I agree,"In-class assessments/quizzes, Videos, Small group activities where you solve a problem together, Role playing situations",Disagree,Neutral,Disagree,Agree,Strongly Agree,Neutral,Agree,"The university is just putting up recorded lectures, and our lecturers are rarely replying to our emails so its difficult to ask questions. Would be nice to have some sort of online chat with the lecturer with quick and easy responses.","In person classes. I miss my friends and at this point, i even miss the lecture hall. But on a more serious note, its easier to put your hand up in class and ask a question instead of emailing a question and having to wait a week for a response. ",1,1,1,1,1,1,1,1,1,1,1,1,1,1
113,4/6/2020 4:16:31,High school,Italy,Yes,Skype,I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Asking you to apply class material to a new context, Frontal lesson",Agree,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Shorter video lessons,"Yes, I can organize how I want and do things my way",1,1,1,1,1,1,1,1,1,1,1,1,1,1
114,4/6/2020 4:16:32,High school,United Kingdom,Yes,Google Teams,I agree,In-class assessments/quizzes,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Agree,More interactive ,I do not as its harder to receive feedback and get help quickly ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
116,4/6/2020 4:16:35,High school,Australia,Yes,Microsoft teams,I agree,"Videos, Asking students to explain concepts to the class, Explanation using Diagrams, Q&A with students' questions, Asking you to apply class material to a new context",Strongly Disagree,Strongly Disagree,Agree,Neutral,Agree,Neutral,Agree,In a larger class it can be hard for individuals to talk so something to do with that,"No, I feel more engaged during in-person classes, in the right headspace to learn when physically there and there’s less distractions ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
117,4/6/2020 4:16:36,Undergraduate,United Kingdom,Yes,Recorded Lectures,I agree,"In-class assessments/quizzes, Videos, Explanation using Diagrams",Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Have them be live instead of recorded ,I prefer classes in person as it makes me get out of the house and I’m more motivated to actually go to class,1,1,1,1,1,1,1,1,1,1,1,1,1,1
118,4/6/2020 4:16:37,Undergraduate,Finland,Yes,Zoom,I agree,"Videos, Explanation using Diagrams",Agree,Neutral,Disagree,Neutral,Agree,Agree,Disagree,I would like our classes to be more about us students working and less teacher talking.,I do prefer.,0,1,1,1,1,1,1,0,1,1,1,1,1,1
122,4/6/2020 4:16:42,High school,United Kingdom,Yes,Google classroom,I agree,Videos,Neutral,Disagree,Neutral,Disagree,Agree,Neutral,Disagree,More engaging not so genetically operated ,Sort of yes as at school I feel social pressure where as at home I don’t no as I learn more at school,0,1,1,1,1,1,1,0,1,1,1,1,1,1
125,4/6/2020 4:16:44,High school,United Kingdom,email,"email, edulink, google classroom",I agree,copy off powerpoints,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,make them more interactive rather than just copying from textbooks and powerpoints ,online classes are less stressful but it is harder to stay motivated.,0,1,1,1,1,1,1,0,1,1,1,1,1,1
128,4/6/2020 4:16:48,Undergraduate,Germany,Yes,Recorded Lectures,I agree,"Videos, Q&A with students' questions",Agree,Neutral,Neutral,Neutral,Agree,Disagree,Agree,We tried a live lecture and it cut off so many times that I wasn’t able to follow class,"I prefer online classes if they are recorded. If not, then in-person is way better because you can ask question when they come up",0,1,1,1,1,1,1,0,1,1,1,1,1,1
129,4/6/2020 4:16:50,Undergraduate,United Kingdom,Yes,Recorded Lectures,I agree,"In-class assessments/quizzes, Videos, Explanation using Diagrams, Q&A with students' questions, Asking you to apply class material to a new context",Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Have readings instead of recorded lectures. Too tempting to put them on pause and do other things ,"No, I know that live classes I only have one chance while online classes I have unlimited times I can listen to them so I’m not very disciplined ",1,1,1,1,1,1,1,1,1,1,1,1,1,1
130,4/6/2020 4:16:50,High school,United Kingdom,Yes,Microsoft teams,I agree,"Videos, Debates",Disagree,Disagree,Neutral,Neutral,Agree,Agree,Disagree,More communication between teachers and students,No - I need the physical setting etc to be motivated,0,1,1,1,1,1,1,0,1,1,1,1,1,1
131,4/6/2020 4:16:50,High school,United Kingdom,Yes,Google Teams,I agree,"In-class assessments/quizzes, Asking students to explain concepts to the class, Explanation using Diagrams, Q&A with students' questions",Agree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,"Have a feature for group work to emulate real class. So you get put with a few of your classmates and you only hear their dialogue to work together, then come back into the full class",Prefer in person. Can interact more with the teacher and the class. Keep focused more easily,1,1,1,1,1,1,1,1,1,1,1,1,1,1
132,4/6/2020 4:16:51,Undergraduate,Greece,Yes,Google meet,I agree,In-class assessments/quizzes,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Make the students participate more,"I don’t, I feel like I have a YouTube video playing in the background and I can’t pay attention ",1,1,1,1,1,1,1,1,1,1,1,1,1,1
136,4/6/2020 4:16:59,Undergraduate,United Kingdom,Yes,Recorded Lectures,I agree,"In-class assessments/quizzes, Videos, Debates",Disagree,Disagree,Neutral,Disagree,Strongly Agree,Agree,Agree,I would change it to a different platform so the content is more engaging (e.g Zoom),No. I like having the physical presence of other people surrounding me as it makes me feel more motivated. Having class online doesn’t fulfil this quota for me and so I feel much less motivated. ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
137,4/6/2020 4:17:00,Undergraduate,United Kingdom,Yes,Some use zoom and some use canvas and then one just uploads old lectures,I agree,"In-class assessments/quizzes, Videos, Small group activities where you solve a problem together, Q&A with students' questions",Disagree,Strongly Disagree,Neutral,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,For everyone to participate ,In person classes as then I have went to the class and feel like I have actually tried but get distracted very easily online and no way of showing if I have attended so sometimes don’t bother,1,1,1,1,1,1,1,1,1,1,1,1,1,1
138,4/6/2020 4:17:00,Undergraduate,Australia,Yes,Zoom,I agree,"In-class assessments/quizzes, Videos, Small group activities where you solve a problem together",Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Being able to interact with peers more,Online is good because it gets rid of my 50min commute and I enjoy having time and space to work at home. But I was looking forward to meeting new people and challenging myself in a new setting which I can’t do,1,1,1,1,1,1,1,1,1,1,1,1,1,1
143,4/6/2020 4:17:06,Undergraduate,United Kingdom,Yes,Recorded Lectures,I agree,"Videos, Explanation using Diagrams, Q&A with students' questions",Neutral,Disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Make them live instead of pre recorded,"No, I prefer going to the lecture in person, getting out the house and seeing my friends. ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
144,4/6/2020 4:17:06,High school,United Kingdom,Yes,Show My Homework,I agree,Set work from powerpoints,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Have actual classes,"Actual , I’m left completely to my own devices due to lack of funding",0,1,1,1,1,1,1,0,1,1,1,1,1,1
145,4/6/2020 4:17:08,Undergraduate,Portugal,Yes,Zoom,I agree,"Videos, Small group activities where you solve a problem together",Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,The dinamic. My teachers are still applying methods that result with presencial classes but that aren’t working with online classes ,"No, with in-person classes I feel that I’m “closer” to the teacher ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
146,4/6/2020 4:17:09,Undergraduate,Poland,Yes,PowerPoints,I agree,Videos,Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Real teaching via zoom or something as we are being sent PowerPoints to teach ourselves ,No because my college lacks facilities ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
147,4/6/2020 4:17:10,High school,Netherlands,Yes,Google Teams,I agree,"Asking students to explain concepts to the class, Q&A with students' questions, Asking you to apply class material to a new context",Agree,Agree,Neutral,Disagree,Agree,Neutral,Agree,"The quality of the technology needs to be better. Sometimes I am not able to hear my teacher, or see the material which is used.",I do prefer online classes because there is a lot more room for personal attention and the classes aren’t required if you don’t feel the need to come  class. This allows me to spend my time more efficiently,0,1,1,1,1,1,1,0,1,1,1,1,1,1
148,4/6/2020 4:17:10,High school,United Kingdom,Yes,A mixture of all of them and microsoft teams,I agree,"In-class assessments/quizzes, Videos, Explanation using Diagrams, Q&A with students' questions",Strongly Agree,Disagree,Agree,Neutral,Agree,Neutral,Neutral,I would like more video chats rather than just setting work for us to do I like seeing everyone and it gives some normality to the day,In person I prefer to see everyone and have the teacher there to help,1,1,1,1,1,1,1,1,1,1,1,1,1,1
149,4/6/2020 4:17:13,Undergraduate,United Kingdom,Yes,Zoom,I agree,Explanation using Diagrams,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Engagement and support ,No because I like to be present in the room with people ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
150,4/6/2020 4:17:14,Undergraduate,United Kingdom,Yes,Webex,I agree,None ,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Make them more engaging and informative because at the moment I don’t think they teach much online ,"In person, because when you’re in the lecture hall it’s a learning environment and puts my mindset into a learning mindset ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
154,4/6/2020 4:17:16,Undergraduate,United Kingdom,Yes,Zoom,I agree,"Small group activities where you solve a problem together, Explanation using Diagrams, Q&A with students' questions, Journal clubs* reading of scientific papers for discussion",Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,"Smaller groups, so students can speak and contribute "," No. In person classes hold me more accountable to take notes, pay attention etc. ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
156,4/6/2020 4:17:22,Undergraduate,Portugal,Yes,Zoom,I agree,Videos,Agree,Neutral,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,More engagement with the students,"Yes, because I can make my own schedule and I don’t need to leave home.",0,1,1,1,1,1,1,0,1,1,1,1,1,1
157,4/6/2020 4:17:22,High school,United Kingdom,we don’t use zoom but we are set assignments ,Google Teams,I agree,In-class assessments/quizzes,Neutral,Disagree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Neutral,be able to have classes in zoom as they will be similar to what they would be in class,no as i don’t have online classes i such i get set assignments and personal research ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
161,4/6/2020 4:17:26,Undergraduate,United Kingdom,Yes,Voice Over and non voice over PowerPoint Presentations and ,I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Debates, Small group activities where you solve a problem together, Explanation using Diagrams, Q&A with students' questions, Asking you to apply class material to a new context",Neutral,Disagree,Strongly Disagree,Disagree,Strongly Agree,Neutral,Disagree,Make them live/ recorded video lectures due to lack of explanations on the power points,"No, not really any guidance or support, lack of communication which leads to a lack of motivation ",1,1,1,1,1,1,1,1,1,1,1,1,1,1
162,4/6/2020 4:17:26,Undergraduate,United Kingdom,Yes,Microsoft Teams,I agree,"In-class assessments/quizzes, Videos, Explanation using Diagrams, Q&A with students' questions, Asking you to apply class material to a new context",Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Neutral,I would add capability for smaller groups to be formed in the online classroom in order to do group work,"I prefer in person classes because I feel more comfortable speaking in this setting, and I am less distracted. ",1,1,1,1,1,1,1,1,1,1,1,1,1,1
163,4/6/2020 4:17:30,Undergraduate,Ireland,Yes,Blackboard ,I agree,"In-class assessments/quizzes, Videos, Explanation using Diagrams",Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Live classes instead of prerecorded lectures ,"No - less engaging, harder to concentrate and take the new material in, easily distracted, unmotivated, no accountability ",1,1,1,1,1,1,1,1,1,1,1,1,1,1
164,4/6/2020 4:17:31,High school,United Kingdom,Yes,Google Teams,I agree,"In-class assessments/quizzes, Debates, Q&A with students' questions, Asking you to apply class material to a new context",Disagree,Neutral,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Having more frequent online classes,"No, I believe you don’t get all the necessary    attention that you would get in class ",1,1,1,1,1,1,1,1,1,1,1,1,1,1
165,4/6/2020 4:17:31,Graduate,Spain,Yes,Zoom,I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Small group activities where you solve a problem together, Role playing situations, Explanation using Diagrams, Q&A with students' questions, Asking you to apply class material to a new context",Agree,Neutral,Agree,Strongly Agree,Agree,Disagree,Disagree,Too many people,"In person, I concentrate more and take notes more conciously (if I know I can stop the recording, I take much longer to take notes and end up writing useless stuff)",1,1,1,1,1,1,1,1,1,1,1,1,1,1
